day,shift,preference,requirements,assigned,singleWorkerFitness
8,1,0,8,1,620
8,1,1,8,1,630
8,1,1,8,1,550
8,1,0,8,1,520
8,1,0,8,1,600
8,1,1,8,0,560
8,1,1,8,1,660
8,1,0,8,0,490
8,1,0,8,0,590
8,1,0,8,0,580
8,1,0,8,1,610
8,2,1,7,1,620
8,2,0,7,0,630
8,2,0,7,0,550
8,2,0,7,1,520
8,2,0,7,0,600
8,2,1,7,1,560
8,2,0,7,1,660
8,2,0,7,1,490
8,2,1,7,1,590
8,2,0,7,1,580
8,2,0,7,0,610
8,3,1,5,1,620
8,3,1,5,1,630
8,3,0,5,0,550
8,3,1,5,0,520
8,3,1,5,0,600
8,3,0,5,1,560
8,3,0,5,0,660
8,3,0,5,0,490
8,3,0,5,0,590
8,3,0,5,0,580
8,3,1,5,1,610
9,1,0,10,1,620
9,1,1,10,1,630
9,1,0,10,1,550
9,1,0,10,0,520
9,1,1,10,1,600
9,1,0,10,1,560
9,1,0,10,1,660
9,1,0,10,1,490
9,1,0,10,1,590
9,1,0,10,1,580
9,1,1,10,1,610
9,2,0,5,0,620
9,2,1,5,1,630
9,2,1,5,1,550
9,2,0,5,0,520
9,2,0,5,0,600
9,2,1,5,1,560
9,2,1,5,0,660
9,2,0,5,1,490
9,2,0,5,0,590
9,2,0,5,1,580
9,2,0,5,0,610
9,3,1,10,1,620
9,3,1,10,1,630
9,3,0,10,1,550
9,3,0,10,1,520
9,3,0,10,1,600
9,3,1,10,1,560
9,3,0,10,0,660
9,3,1,10,1,490
9,3,0,10,1,590
9,3,1,10,1,580
9,3,1,10,1,610
10,1,1,7,1,620
10,1,0,7,0,630
10,1,0,7,0,550
10,1,1,7,1,520
10,1,1,7,1,600
10,1,1,7,1,560
10,1,1,7,1,660
10,1,1,7,0,490
10,1,0,7,1,590
10,1,0,7,0,580
10,1,0,7,1,610
10,2,1,10,1,620
10,2,1,10,1,630
10,2,0,10,0,550
10,2,1,10,1,520
10,2,1,10,1,600
10,2,1,10,1,560
10,2,1,10,1,660
10,2,0,10,1,490
10,2,1,10,1,590
10,2,0,10,1,580
10,2,1,10,1,610
10,3,1,10,0,620
10,3,1,10,1,630
10,3,1,10,1,550
10,3,1,10,1,520
10,3,0,10,0,600
10,3,1,10,1,560
10,3,1,10,1,660
10,3,1,10,1,490
10,3,0,10,0,590
10,3,0,10,1,580
10,3,0,10,1,610
11,1,0,5,0,620
11,1,0,5,1,630
11,1,0,5,1,550
11,1,0,5,1,520
11,1,0,5,1,600
11,1,0,5,0,560
11,1,1,5,0,660
11,1,0,5,0,490
11,1,0,5,0,590
11,1,1,5,1,580
11,1,1,5,0,610
11,2,1,8,1,620
11,2,0,8,1,630
11,2,1,8,1,550
11,2,1,8,1,520
11,2,1,8,1,600
11,2,1,8,1,560
11,2,0,8,0,660
