id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,finalFitnness
124,4,3,4,0,10,1,540,1250,5100
125,4,3,5,0,10,1,500,1250,5100
126,4,3,6,0,10,0,550,1250,5100
127,4,3,7,1,10,0,580,1250,5100
128,4,3,8,0,10,1,660,1250,5100
129,4,3,9,0,10,1,620,1250,5100
130,4,3,10,0,10,1,510,1250,5100
131,4,3,11,0,10,1,570,1250,5100
132,5,1,1,1,8,1,590,1250,5100
133,5,1,2,0,8,1,680,1250,5100
134,5,1,3,0,8,1,550,1250,5100
135,5,1,4,0,8,1,540,1250,5100
136,5,1,5,1,8,0,500,1250,5100
137,5,1,6,1,8,1,550,1250,5100
138,5,1,7,0,8,0,580,1250,5100
139,5,1,8,1,8,1,660,1250,5100
140,5,1,9,0,8,1,620,1250,5100
141,5,1,10,1,8,1,510,1250,5100
142,5,1,11,1,8,0,570,1250,5100
143,5,2,1,0,9,1,590,1250,5100
144,5,2,2,0,9,1,680,1250,5100
145,5,2,3,0,9,0,550,1250,5100
146,5,2,4,1,9,1,540,1250,5100
147,5,2,5,0,9,1,500,1250,5100
148,5,2,6,0,9,0,550,1250,5100
149,5,2,7,1,9,1,580,1250,5100
150,5,2,8,1,9,1,660,1250,5100
151,5,2,9,0,9,0,620,1250,5100
152,5,2,10,1,9,1,510,1250,5100
153,5,2,11,1,9,1,570,1250,5100
154,5,3,1,0,5,0,590,1250,5100
155,5,3,2,1,5,1,680,1250,5100
156,5,3,3,0,5,0,550,1250,5100
157,5,3,4,1,5,1,540,1250,5100
158,5,3,5,1,5,1,500,1250,5100
159,5,3,6,0,5,0,550,1250,5100
160,5,3,7,1,5,0,580,1250,5100
161,5,3,8,1,5,0,660,1250,5100
162,5,3,9,1,5,0,620,1250,5100
163,5,3,10,0,5,0,510,1250,5100
164,5,3,11,1,5,1,570,1250,5100
165,6,1,1,0,5,1,590,1250,5100
166,6,1,2,1,5,0,680,1250,5100
167,6,1,3,0,5,0,550,1250,5100
168,6,1,4,0,5,0,540,1250,5100
169,6,1,5,1,5,1,500,1250,5100
170,6,1,6,0,5,1,550,1250,5100
171,6,1,7,0,5,0,580,1250,5100
172,6,1,8,1,5,1,660,1250,5100
173,6,1,9,0,5,0,620,1250,5100
174,6,1,10,0,5,0,510,1250,5100
175,6,1,11,1,5,1,570,1250,5100
176,6,2,1,1,6,1,590,1250,5100
177,6,2,2,1,6,1,680,1250,5100
178,6,2,3,1,6,0,550,1250,5100
179,6,2,4,0,6,1,540,1250,5100
180,6,2,5,1,6,1,500,1250,5100
181,6,2,6,1,6,1,550,1250,5100
182,6,2,7,0,6,0,580,1250,5100
183,6,2,8,0,6,0,660,1250,5100
184,6,2,9,0,6,1,620,1250,5100
185,6,2,10,0,6,0,510,1250,5100
186,6,2,11,0,6,0,570,1250,5100
187,6,3,1,0,5,0,590,1250,5100
188,6,3,2,0,5,0,680,1250,5100
189,6,3,3,1,5,1,550,1250,5100
190,6,3,4,1,5,0,540,1250,5100
191,6,3,5,0,5,0,500,1250,5100
192,6,3,6,1,5,1,550,1250,5100
193,6,3,7,0,5,1,580,1250,5100
194,6,3,8,1,5,0,660,1250,5100
195,6,3,9,1,5,0,620,1250,5100
196,6,3,10,0,5,1,510,1250,5100
197,6,3,11,1,5,1,570,1250,5100
198,7,1,1,0,8,1,590,1250,5100
199,7,1,2,0,8,0,680,1250,5100
200,7,1,3,1,8,1,550,1250,5100
201,7,1,4,1,8,1,540,1250,5100
202,7,1,5,0,8,1,500,1250,5100
203,7,1,6,1,8,1,550,1250,5100
204,7,1,7,0,8,0,580,1250,5100
205,7,1,8,0,8,1,660,1250,5100
206,7,1,9,1,8,1,620,1250,5100
207,7,1,10,0,8,1,510,1250,5100
208,7,1,11,1,8,1,570,1250,5100
209,7,2,1,1,9,1,590,1250,5100
210,7,2,2,1,9,1,680,1250,5100
211,7,2,3,0,9,1,550,1250,5100
212,7,2,4,0,9,0,540,1250,5100
213,7,2,5,0,9,1,500,1250,5100
214,7,2,6,1,9,0,550,1250,5100
215,7,2,7,0,9,1,580,1250,5100
216,7,2,8,1,9,1,660,1250,5100
217,7,2,9,1,9,1,620,1250,5100
218,7,2,10,0,9,1,510,1250,5100
219,7,2,11,0,9,1,570,1250,5100
220,7,3,1,1,6,1,590,1250,5100
221,7,3,2,0,6,0,680,1250,5100
222,7,3,3,1,6,1,550,1250,5100
223,7,3,4,1,6,1,540,1250,5100
224,7,3,5,1,6,1,500,1250,5100
225,7,3,6,1,6,0,550,1250,5100
226,7,3,7,0,6,0,580,1250,5100
227,7,3,8,0,6,0,660,1250,5100
228,7,3,9,0,6,0,620,1250,5100
229,7,3,10,0,6,1,510,1250,5100
230,7,3,11,1,6,1,570,1250,5100
231,8,1,1,0,8,1,590,1250,5100
232,8,1,2,1,8,1,680,1250,5100
233,8,1,3,1,8,1,550,1250,5100
234,8,1,4,0,8,1,540,1250,5100
235,8,1,5,0,8,1,500,1250,5100
236,8,1,6,1,8,0,550,1250,5100
237,8,1,7,1,8,1,580,1250,5100
238,8,1,8,0,8,0,660,1250,5100
239,8,1,9,0,8,0,620,1250,5100
240,8,1,10,0,8,1,510,1250,5100
241,8,1,11,0,8,0,570,1250,5100
242,8,2,1,1,7,1,590,1250,5100
243,8,2,2,0,7,1,680,1250,5100
244,8,2,3,0,7,0,550,1250,5100
245,8,2,4,0,7,0,540,1250,5100
246,8,2,5,0,7,0,500,1250,5100
247,8,2,6,1,7,1,550,1250,5100
248,8,2,7,0,7,1,580,1250,5100
249,8,2,8,0,7,0,660,1250,5100
250,8,2,9,1,7,1,620,1250,5100
251,8,2,10,0,7,1,510,1250,5100
252,8,2,11,0,7,1,570,1250,5100
253,8,3,1,1,5,1,590,1250,5100
254,8,3,2,1,5,1,680,1250,5100
255,8,3,3,0,5,0,550,1250,5100
256,8,3,4,1,5,1,540,1250,5100
257,8,3,5,1,5,0,500,1250,5100
258,8,3,6,0,5,0,550,1250,5100
259,8,3,7,0,5,0,580,1250,5100
260,8,3,8,0,5,0,660,1250,5100
261,8,3,9,0,5,0,620,1250,5100
262,8,3,10,0,5,1,510,1250,5100
263,8,3,11,1,5,1,570,1250,5100
264,9,1,1,0,10,1,590,1250,5100
265,9,1,2,1,10,1,680,1250,5100
266,9,1,3,0,10,0,550,1250,5100
267,9,1,4,0,10,1,540,1250,5100
268,9,1,5,1,10,1,500,1250,5100
269,9,1,6,0,10,1,550,1250,5100
270,9,1,7,0,10,1,580,1250,5100
271,9,1,8,0,10,1,660,1250,5100
272,9,1,9,0,10,0,620,1250,5100
273,9,1,10,0,10,1,510,1250,5100
274,9,1,11,1,10,1,570,1250,5100
275,9,2,1,0,5,0,590,1250,5100
276,9,2,2,1,5,0,680,1250,5100
277,9,2,3,1,5,1,550,1250,5100
278,9,2,4,0,5,0,540,1250,5100
279,9,2,5,0,5,0,500,1250,5100
280,9,2,6,1,5,0,550,1250,5100
281,9,2,7,1,5,1,580,1250,5100
282,9,2,8,0,5,1,660,1250,5100
283,9,2,9,0,5,1,620,1250,5100
284,9,2,10,0,5,0,510,1250,5100
285,9,2,11,0,5,0,570,1250,5100
286,9,3,1,1,10,1,590,1250,5100
287,9,3,2,1,10,1,680,1250,5100
288,9,3,3,0,10,0,550,1250,5100
289,9,3,4,0,10,1,540,1250,5100
290,9,3,5,0,10,1,500,1250,5100
291,9,3,6,1,10,0,550,1250,5100
292,9,3,7,0,10,0,580,1250,5100
293,9,3,8,1,10,1,660,1250,5100
294,9,3,9,0,10,1,620,1250,5100
295,9,3,10,1,10,1,510,1250,5100
296,9,3,11,1,10,1,570,1250,5100
297,10,1,1,1,7,1,590,1250,5100
298,10,1,2,0,7,0,680,1250,5100
299,10,1,3,0,7,1,550,1250,5100
300,10,1,4,1,7,1,540,1250,5100
301,10,1,5,1,7,1,500,1250,5100
302,10,1,6,1,7,1,550,1250,5100
303,10,1,7,1,7,0,580,1250,5100
304,10,1,8,1,7,1,660,1250,5100
305,10,1,9,0,7,0,620,1250,5100
306,10,1,10,0,7,1,510,1250,5100
307,10,1,11,0,7,0,570,1250,5100
308,10,2,1,1,10,1,590,1250,5100
309,10,2,2,1,10,1,680,1250,5100
310,10,2,3,0,10,0,550,1250,5100
311,10,2,4,1,10,1,540,1250,5100
312,10,2,5,1,10,1,500,1250,5100
313,10,2,6,1,10,1,550,1250,5100
314,10,2,7,1,10,1,580,1250,5100
315,10,2,8,0,10,1,660,1250,5100
316,10,2,9,1,10,1,620,1250,5100
317,10,2,10,0,10,1,510,1250,5100
318,10,2,11,1,10,1,570,1250,5100
319,10,3,1,1,10,1,590,1250,5100
320,10,3,2,1,10,1,680,1250,5100
321,10,3,3,1,10,1,550,1250,5100
322,10,3,4,1,10,0,540,1250,5100
323,10,3,5,0,10,1,500,1250,5100
324,10,3,6,1,10,1,550,1250,5100
325,10,3,7,1,10,1,580,1250,5100
326,10,3,8,1,10,1,660,1250,5100
327,10,3,9,0,10,1,620,1250,5100
328,10,3,10,0,10,1,510,1250,5100
329,10,3,11,0,10,1,570,1250,5100
330,11,1,1,0,5,1,590,1250,5100
331,11,1,2,0,5,1,680,1250,5100
332,11,1,3,0,5,1,550,1250,5100
333,11,1,4,0,5,0,540,1250,5100
334,11,1,5,0,5,0,500,1250,5100
335,11,1,6,0,5,0,550,1250,5100
336,11,1,7,1,5,0,580,1250,5100
337,11,1,8,0,5,0,660,1250,5100
338,11,1,9,0,5,0,620,1250,5100
339,11,1,10,1,5,1,510,1250,5100
340,11,1,11,1,5,1,570,1250,5100
341,11,2,1,1,8,1,590,1250,5100
342,11,2,2,0,8,0,680,1250,5100
343,11,2,3,1,8,1,550,1250,5100
344,11,2,4,1,8,1,540,1250,5100
345,11,2,5,1,8,1,500,1250,5100
346,11,2,6,1,8,1,550,1250,5100
347,11,2,7,0,8,1,580,1250,5100
348,11,2,8,1,8,0,660,1250,5100
349,11,2,9,1,8,1,620,1250,5100
350,11,2,10,0,8,1,510,1250,5100
351,11,2,11,0,8,1,570,1250,5100
352,11,3,1,0,6,0,590,1250,5100
353,11,3,2,1,6,1,680,1250,5100
354,11,3,3,1,6,1,550,1250,5100
355,11,3,4,0,6,1,540,1250,5100
356,11,3,5,1,6,0,500,1250,5100
357,11,3,6,0,6,1,550,1250,5100
358,11,3,7,1,6,0,580,1250,5100
359,11,3,8,0,6,1,660,1250,5100
360,11,3,9,1,6,0,620,1250,5100
361,11,3,10,0,6,1,510,1250,5100
362,11,3,11,0,6,0,570,1250,5100
363,12,1,1,0,9,1,590,1250,5100
364,12,1,2,1,9,1,680,1250,5100
365,12,1,3,0,9,1,550,1250,5100
366,12,1,4,0,9,0,540,1250,5100
367,12,1,5,0,9,1,500,1250,5100
368,12,1,6,1,9,1,550,1250,5100
369,12,1,7,0,9,0,580,1250,5100
370,12,1,8,0,9,1,660,1250,5100
371,12,1,9,1,9,1,620,1250,5100
372,12,1,10,0,9,1,510,1250,5100
373,12,1,11,0,9,1,570,1250,5100
374,12,2,1,0,6,0,590,1250,5100
375,12,2,2,0,6,0,680,1250,5100
376,12,2,3,0,6,1,550,1250,5100
377,12,2,4,1,6,0,540,1250,5100
378,12,2,5,0,6,1,500,1250,5100
379,12,2,6,1,6,1,550,1250,5100
380,12,2,7,1,6,1,580,1250,5100
381,12,2,8,1,6,1,660,1250,5100
382,12,2,9,1,6,0,620,1250,5100
383,12,2,10,1,6,1,510,1250,5100
384,12,2,11,1,6,0,570,1250,5100
385,12,3,1,1,8,1,590,1250,5100
386,12,3,2,1,8,1,680,1250,5100
387,12,3,3,1,8,1,550,1250,5100
388,12,3,4,1,8,1,540,1250,5100
389,12,3,5,1,8,0,500,1250,5100
390,12,3,6,1,8,0,550,1250,5100
391,12,3,7,1,8,1,580,1250,5100
392,12,3,8,1,8,1,660,1250,5100
393,12,3,9,0,8,0,620,1250,5100
