id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,sumFitnness
67,3,1,2,0,7,0,540,800,5140
68,3,1,3,0,7,0,540,800,5140
69,3,1,4,1,7,1,600,800,5140
70,3,1,5,1,7,0,570,800,5140
71,3,1,6,1,7,1,570,800,5140
72,3,1,7,1,7,1,650,800,5140
73,3,1,8,0,7,1,500,800,5140
74,3,1,9,1,7,1,490,800,5140
75,3,1,10,1,7,1,500,800,5140
76,3,1,11,1,7,0,480,800,5140
77,3,2,1,0,8,0,500,800,5140
78,3,2,2,1,8,1,540,800,5140
79,3,2,3,0,8,1,540,800,5140
80,3,2,4,0,8,0,600,800,5140
81,3,2,5,1,8,0,570,800,5140
82,3,2,6,1,8,1,570,800,5140
83,3,2,7,1,8,1,650,800,5140
84,3,2,8,0,8,1,500,800,5140
85,3,2,9,1,8,1,490,800,5140
86,3,2,10,0,8,1,500,800,5140
87,3,2,11,1,8,1,480,800,5140
88,3,3,1,1,9,1,500,800,5140
89,3,3,2,0,9,0,540,800,5140
90,3,3,3,0,9,1,540,800,5140
91,3,3,4,0,9,1,600,800,5140
92,3,3,5,0,9,0,570,800,5140
93,3,3,6,0,9,1,570,800,5140
94,3,3,7,1,9,1,650,800,5140
95,3,3,8,0,9,1,500,800,5140
96,3,3,9,0,9,1,490,800,5140
97,3,3,10,0,9,1,500,800,5140
98,3,3,11,0,9,1,480,800,5140
99,4,1,1,0,6,0,500,800,5140
100,4,1,2,0,6,0,540,800,5140
101,4,1,3,0,6,0,540,800,5140
